message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,A business account message with standard priority.,0.8,message_0102;message_0243
msg_091,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.85,message_0321;message_0238
msg_090,digest,unknown,"The sender is unfamiliar, but the message does not show urgency, payment pressure, or safety risk.",0.82,none
msg_048,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.85,message_0237;message_0151
msg_040,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0136;message_0135
msg_075,notify,business_update,A verified travel or ride service is sending a time-sensitive update.,0.9,message_0206;message_0205
msg_005,digest,promotion,The message matches the user's known interests but is still low priority.,0.84,message_0231;message_0049
msg_104,digest,personal,Personal message with standard priority.,0.8,message_0232;message_0050
msg_069,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0080;message_0177
msg_107,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.85,message_0213;message_0199
msg_070,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.85,message_0213;message_0199
msg_003,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0400;message_0031
msg_099,digest,personal,Personal message with standard priority.,0.8,message_0118;message_0055
msg_008,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.78,message_0296;message_0071
msg_092,digest,business_update,A business account message with standard priority.,0.8,none
msg_060,notify,event,A school admin sent a same-day operational update that the user is likely to need immediately.,0.87,message_0175;message_0404
msg_004,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,message_0064;message_0245
msg_030,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.85,message_0232;message_0050
msg_045,digest,personal,The group message is safe but does not require immediate notification.,0.8,message_0146;message_0145
msg_052,mute,spam,The user has opted out of or repeatedly dismissed similar marketing messages.,0.88,message_0159;message_0207
msg_009,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0073;message_0074
msg_071,digest,personal,The group message is safe but does not require immediate notification.,0.8,message_0197;message_0198
msg_016,digest,personal,The group message is safe but does not require immediate notification.,0.8,message_0202;message_0184
msg_065,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0260;message_0185
msg_038,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0131;message_0132
msg_086,notify,business_update,A verified travel or ride service is sending a time-sensitive update.,0.9,message_0222
msg_014,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0258;message_0187
msg_094,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0220;message_0164
msg_029,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0231;message_0333
msg_105,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0373;message_0233
msg_002,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0003;message_0060
msg_010,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.78,message_0011;message_0076
msg_078,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0211;message_0212
msg_013,digest,promotion,The message matches the user's known interests but is still low priority.,0.84,message_0081;message_0082
msg_018,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0092;message_0091
msg_044,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.85,message_0144;message_0036
msg_032,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.85,message_0120;message_0374
msg_106,digest,personal,Personal message with standard priority.,0.8,message_0377;message_0376
msg_006,digest,personal,The group message is safe but does not require immediate notification.,0.8,message_0029;message_0129
msg_109,mute,scam,The message demands urgent payment or security verification via suspicious links.,0.85,message_0237;message_0151
msg_108,mute,spam,The user has opted out of or repeatedly dismissed similar marketing messages.,0.88,message_0094;message_0236
msg_019,mute,spam,The user has opted out of or repeatedly dismissed similar marketing messages.,0.88,message_0094;message_0236
msg_088,digest,promotion,The message matches the user's known interests but is still low priority.,0.84,message_0232;message_0050
msg_056,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0359;message_0168
msg_027,digest,promotion,The message is promotional but matches a topic or business the user has opted into.,0.78,message_0272;message_0033
msg_050,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,message_0155;message_0279
msg_083,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.82,message_0219
msg_063,digest,personal,The group message is safe but does not require immediate notification.,0.8,message_0181;message_0182
msg_033,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0393;message_0372
msg_061,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0080;message_0177
msg_020,digest,personal,The group message is safe but does not require immediate notification.,0.8,message_0095;message_0096
msg_017,digest,personal,The group message is safe but does not require immediate notification.,0.8,message_0090;message_0089
msg_058,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.83,message_0123;message_0241
msg_026,mute,spam,The user has opted out of or repeatedly dismissed similar marketing messages.,0.88,message_0107;message_0108
msg_047,digest,personal,The group message is safe but does not require immediate notification.,0.8,message_0029;message_0129
msg_046,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.85,message_0201;message_0087
msg_042,digest,personal,The group message is safe but does not require immediate notification.,0.8,message_0057;message_0058
msg_079,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.85,message_0213;message_0199
msg_098,digest,personal,Personal message with standard priority.,0.8,message_0359;message_0168
msg_037,digest,personal,The group message is safe but does not require immediate notification.,0.8,message_0029;message_0129
msg_007,digest,event,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.84,message_0070;message_0069
msg_085,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.85,message_0213;message_0199
msg_001,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0057;message_0058
msg_021,digest,personal,The message is safe casual chat with no urgent action required.,0.8,message_0029;message_0129
msg_028,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0034;message_0111
msg_012,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0080;message_0177
msg_064,digest,personal,The group message is safe but does not require immediate notification.,0.8,message_0202;message_0184
msg_103,digest,personal,Personal message with standard priority.,0.8,message_0231;message_0049
msg_031,notify,urgent,The message is from a work context and contains a direct deadline or meeting dependency.,0.85,message_0118;message_0055
msg_057,notify,personal,The sender directly asks this user for a response or action.,0.87,message_0003;message_0060
msg_087,mute,spam,The user has opted out of or repeatedly dismissed similar marketing messages.,0.81,message_0223;message_0164
